id,description_feature_1,description_feature_2,description_feature_3
886869753081606419,Central location, Family-friendly, Close to restaurants and cafes  
887009490523804039,Central location, Cozy atmosphere, Charming old-town vibe  
887029357556333167,Central location, Near public transportation, Panoramic city views
887267558999035727,Modern apartment, Central location, Fully equipped kitchen  
887415313431231854,Close to public transportation, Close to restaurants and cafes, Modern apartment  
887421538267220288,Close to public transportation, Close to restaurants and cafes, Modern apartment  
887424436428180341,Close to public transportation, Close to restaurants and cafes, Modern apartment  
887526922763888879,Family-friendly, Central location, Fully equipped kitchen  
887534111153182370,Central location, Near public transportation, Cozy atmosphere  
887539795982830127,Ideal for couples, Central location, Fully equipped kitchen  
887549178934827806,Stylish and modern decor, Near major landmarks, Unique architectural design  
887573237619848725,Central location, Close to restaurants and cafes, Nearby parks or green spaces  
887582644091275437,Luxury apartment, Central location, Near cultural attractions
887592474333021567,Ideal for couples, Close to restaurants and cafes, Fully equipped kitchen  
887639678088524776,Quiet area, Close to shopping areas, Ideal for couples  
887689565643660330,Quiet area, Close to shopping areas, Ideal for couples  
887694940454330224,Historic neighborhood, Spacious living areas, Luxury apartment  
887701545084751822,Central location, Close to restaurants and cafes, Near a river or waterfront  
887750341284749969,Near public transportation, Cozy atmosphere, Stylish and modern decor  
887764230895386268,Near public transportation, Historic neighborhood, Close to restaurants and cafes  
888049490189063076,Panoramic city views, Family-friendly, Near major landmarks  
888329469244217487,Cozy atmosphere, Stylish and modern decor, Ideal for couples  
888420461342052313,Family-friendly, Fully equipped kitchen, Laundry facilities included
888462545911388858,Central location, Near public transportation, Near a river or waterfront  
888793218314353728,Central location, Family-friendly, Fully equipped kitchen  
888986532150767150,Panoramic city views, Charming old-town vibe, Unique architectural design  
888987135023327935,Luxury apartment, Central location, Includes breakfast  
889669979780625413,Central location, Near major landmarks, Close to restaurants and cafes  
889700499492292564,Central location, Near major landmarks, Close to restaurants and cafes  
889713054553026988,Central location, Near major landmarks, Close to restaurants and cafes  
889730357391733756,Central location, Near major landmarks, Close to restaurants and cafes  
889745170160842200,Central location, Near major landmarks, Close to restaurants and cafes  
889746938243011871,Central location, Near museums and galleries, Close to restaurants and cafes
889845907539806658,Family-friendly, Historic neighborhood, Includes breakfast  
889929252990781887,Modern apartment, Near public transportation, Quiet area  
889943602295512914,Luxury apartment, Stylish and modern decor, Central location  
890017218153291421,Close to restaurants and cafes, Spacious living areas, Cozy atmosphere  
890196471783377508,Luxury apartment, Private entrance, Unique architectural design  
890475167410867271,Close to public transportation, Quiet area, Local artisan decor  
890607549375560141,Budget-friendly, Family-friendly, Includes cleaning service  
891206123095147159,Fully equipped kitchen, Great for food lovers, Walkable neighborhood  
891208604111634350,Near public transportation, Quiet area, Fully equipped kitchen  
891322435478636505,Spacious living areas, Family-friendly, Ideal for couples
891328548128066548,Unique architectural design, Panoramic city views, Quiet area  
891413418476581339,Central location, Cozy atmosphere, Close to restaurants and cafes  
891775636102074334,Central location, Quiet area, Near parks or green spaces  
891781125933486965,Luxury apartment, Near major landmarks, Ideal for couples  
891794016661706266,Budget-friendly, Family-friendly, Near public transportation  
891813420813401637,Budget-friendly, Close to shopping areas, Near restaurants and cafes  
891836526408319023,Central location, Walkable neighborhood, Close to restaurants and cafes  
891860435478080426,Central location, Walkable neighborhood, Close to restaurants and cafes  
891913152884769573,Budget-friendly, Charming old-town vibe, Central location  
892018721359469734,Central location, Ideal for couples, Fully equipped kitchen
892129004382203416,Cozy atmosphere, Central location, Quiet area  
892157046504276051,Central location, Near public transportation, Close to shopping areas  
892519279078408493,Fully equipped kitchen, Good natural lighting, Cozy atmosphere  
892540859133444463,Central location, Family-friendly, Close to major landmarks  
892553761714492964,Central location, Near public transportation, Ideal for couples  
892563107102896798,Central location, Family-friendly, Great for food lovers  
892756371087195504,Central location, Ideal for couples, Fully equipped kitchen  
892763971139609477,Central location, Perfect for extended stays, Remote work setup  
893167922926463220,Central location, Quiet area, Cozy atmosphere  
893190514078259917,Central location, Near public transportation, Near a river or waterfront
893196702513491062,Central location, Quiet area, Near major landmarks
893225058560917260,Central location, Close to shopping areas, Walkable neighborhood
893423551826836136,Near public transportation, Central location, Close to shopping areas
893624423899236237,Central location, Business traveler-friendly, Family-friendly
893633394528361988,Central location, Ideal for couples, Family-friendly
894288290394954721,Quiet area, Close to parks and green spaces, Near public transportation
894302043351638799,Quiet area, Close to restaurants and cafes, Near public transportation
894585508340346971,Panoramic city views, Quiet area, Family-friendly
894710485906149646,Near major landmarks, Close to cultural attractions, Near a river or waterfront
894780505392850926,Luxury apartment, Includes breakfast, Family-friendly
895520151492281620,Cozy atmosphere, Suitable for solo travelers, Quiet area
896143377523835887,Central location, Near public transportation, Fully equipped kitchen
896844198416738954,Charming old-town vibe, Pet-friendly, Close to public transportation
896992121165693760,Central location, Modern apartment, Fully equipped kitchen
897018115076367247,Luxury apartment, Central location, Perfect for couples
897037203910176304,Quiet area, Close to restaurants and cafes, Historic neighborhood
